UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 11:13 ?        00:00:20 /sbin/init splash
root           2       0  0 11:13 ?        00:00:00 [kthreadd]
root           3       2  0 11:13 ?        00:00:00 [rcu_gp]
root           4       2  0 11:13 ?        00:00:00 [rcu_par_gp]
root           5       2  0 11:13 ?        00:00:00 [slub_flushwq]
root           6       2  0 11:13 ?        00:00:00 [netns]
root           8       2  0 11:13 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 11:13 ?        00:00:11 [kworker/u16:0-events_power_efficient]
root          11       2  0 11:13 ?        00:00:00 [mm_percpu_wq]
root          12       2  0 11:13 ?        00:00:00 [rcu_tasks_kthread]
root          13       2  0 11:13 ?        00:00:00 [rcu_tasks_rude_kthread]
root          14       2  0 11:13 ?        00:00:00 [rcu_tasks_trace_kthread]
root          15       2  0 11:13 ?        00:00:00 [ksoftirqd/0]
root          16       2  0 11:13 ?        00:00:15 [rcu_preempt]
root          17       2  0 11:13 ?        00:00:00 [migration/0]
root          18       2  0 11:13 ?        00:00:00 [idle_inject/0]
root          19       2  0 11:13 ?        00:00:00 [cpuhp/0]
root          20       2  0 11:13 ?        00:00:00 [cpuhp/2]
root          21       2  0 11:13 ?        00:00:00 [idle_inject/2]
root          22       2  0 11:13 ?        00:00:00 [migration/2]
root          23       2  0 11:13 ?        00:00:00 [ksoftirqd/2]
root          26       2  0 11:13 ?        00:00:00 [cpuhp/4]
root          27       2  0 11:13 ?        00:00:00 [idle_inject/4]
root          28       2  0 11:13 ?        00:00:00 [migration/4]
root          29       2  0 11:13 ?        00:00:03 [ksoftirqd/4]
root          31       2  0 11:13 ?        00:00:00 [kworker/4:0H-events_highpri]
root          32       2  0 11:13 ?        00:00:00 [cpuhp/6]
root          33       2  0 11:13 ?        00:00:00 [idle_inject/6]
root          34       2  0 11:13 ?        00:00:00 [migration/6]
root          35       2  0 11:13 ?        00:00:04 [ksoftirqd/6]
root          37       2  0 11:13 ?        00:00:00 [kworker/6:0H-events_highpri]
root          38       2  0 11:13 ?        00:00:00 [cpuhp/1]
root          39       2  0 11:13 ?        00:00:00 [idle_inject/1]
root          40       2  0 11:13 ?        00:00:00 [migration/1]
root          41       2  0 11:13 ?        00:00:00 [ksoftirqd/1]
root          42       2  0 11:13 ?        00:00:00 [kworker/1:0-mm_percpu_wq]
root          43       2  0 11:13 ?        00:00:00 [kworker/1:0H-events_highpri]
root          44       2  0 11:13 ?        00:00:00 [cpuhp/3]
root          45       2  0 11:13 ?        00:00:00 [idle_inject/3]
root          46       2  0 11:13 ?        00:00:00 [migration/3]
root          47       2  0 11:13 ?        00:00:00 [ksoftirqd/3]
root          50       2  0 11:13 ?        00:00:00 [cpuhp/5]
root          51       2  0 11:13 ?        00:00:00 [idle_inject/5]
root          52       2  0 11:13 ?        00:00:00 [migration/5]
root          53       2  0 11:13 ?        00:00:00 [ksoftirqd/5]
root          55       2  0 11:13 ?        00:00:00 [kworker/5:0H-events_highpri]
root          56       2  0 11:13 ?        00:00:00 [cpuhp/7]
root          57       2  0 11:13 ?        00:00:00 [idle_inject/7]
root          58       2  0 11:13 ?        00:00:00 [migration/7]
root          59       2  0 11:13 ?        00:00:00 [ksoftirqd/7]
root          61       2  0 11:13 ?        00:00:00 [kworker/7:0H-events_highpri]
root          62       2  0 11:13 ?        00:00:00 [kdevtmpfs]
root          63       2  0 11:13 ?        00:00:00 [inet_frag_wq]
root          64       2  0 11:13 ?        00:00:06 [kworker/u16:1-events_unbound]
root          65       2  0 11:13 ?        00:00:00 [kauditd]
root          66       2  0 11:13 ?        00:00:00 [khungtaskd]
root          67       2  0 11:13 ?        00:00:00 [oom_reaper]
root          69       2  0 11:13 ?        00:00:00 [writeback]
root          70       2  0 11:13 ?        00:00:00 [kcompactd0]
root          71       2  0 11:13 ?        00:00:00 [ksmd]
root          72       2  0 11:13 ?        00:00:00 [khugepaged]
root          73       2  0 11:13 ?        00:00:00 [kintegrityd]
root          74       2  0 11:13 ?        00:00:00 [kblockd]
root          75       2  0 11:13 ?        00:00:00 [blkcg_punt_bio]
root          77       2  0 11:13 ?        00:00:00 [tpm_dev_wq]
root          78       2  0 11:13 ?        00:00:00 [ata_sff]
root          79       2  0 11:13 ?        00:00:00 [md]
root          80       2  0 11:13 ?        00:00:00 [md_bitmap]
root          81       2  0 11:13 ?        00:00:00 [edac-poller]
root          82       2  0 11:13 ?        00:00:00 [devfreq_wq]
root          85       2  0 11:13 ?        00:00:00 [kworker/7:1-events]
root          87       2  0 11:13 ?        00:00:00 [watchdogd]
